"Artikelnummer";"Lagerbestand Lager [Im Hasseldamm]";"Lagerbestand Lager [Reklamation]";"Anmerkung";
"21-4653-001";"5,00";"0,00";;
"21-4653-002";"32,00";"0,00";;
"21-4654-001";"20,00";"0,00";;
"21-4654-002";"17,00";"0,00";;
"21-4655-001";"14,00";"0,00";;
"21-4655-002";"14,00";"0,00";;
"21-4657-001";"0,00";"0,00";;
"21-4657-002";"0,00";"0,00";"
";
"21-4658-001";"0,00";"0,00";;
"21-4659-001";"0,00";"0,00";;
"21-4659-002";"6,00";"0,00";;
"21-4660-001";"14,00";"0,00";;
"21-4660-002";"17,00";"0,00";;
"21-4660-003";"64,00";"0,00";"209 | A | 1 Kartons | P9-F4-S1 | --

214 | A | 3 Kartons | P3-F3-S2 | --


";
"21-4662-001";"18,00";"0,00";;
"21-4662-002";"7,00";"0,00";;
"21-4663-001";"2,00";"0,00";;
"21-4663-002";"30,00";"0,00";"212 | C | 1 Kartons | P7-F4-S3 | --";
"21-4664-001";"7,00";"0,00";;
"21-4664-002";"16,00";"0,00";;
"21-4678-001";"7,00";"0,00";;
"21-4678-002";"17,00";"0,00";;
"21-4679-001";"20,00";"0,00";;
"21-4679-002";"2,00";"0,00";;
"21-4681-001";"0,00";"0,00";;
"21-4681-002";"0,00";"0,00";;
"21-4682-001";"0,00";"0,00";;
"21-4682-002";"0,00";"0,00";"



";
"21-4683-001";"11,00";"0,00";"
";
"21-4683-002";"17,00";"0,00";"
";
"21-4827-001";"7,00";"0,00";;
"21-4827-002";"13,00";"0,00";;
"21-4824-001";"19,00";"0,00";;
"21-4824-002";"8,00";"6,00";;
"21-4828-001";"13,00";"0,00";;
"21-4828-002";"5,00";"0,00";;
"21-4829-001";"23,00";"0,00";;
"21-4829-002";"33,00";"0,00";;
"21-4830-001";"10,00";"0,00";;
"21-4830-002";"8,00";"0,00";;
"21-4831-001";"49,00";"0,00";;
"21-4831-002";"24,00";"0,00";;
"21-4832-001";"24,00";"0,00";;
"21-4832-002";"23,00";"0,00";;
"21-4833-001";"10,00";"0,00";"

205 | J | 14 Kartons | P7-F2-S1 | --";
"21-4833-002";"144,00";"0,00";;
"21-4834-001";"7,00";"0,00";;
"21-4834-002";"4,00";"0,00";;
"21-4835-001";"32,00";"0,00";;
"21-4835-002";"16,00";"0,00";;
"21-4660-004";"0,00";"0,00";;
"21-4466-003";"20,50";"0,00";;
"21-4289-003";"37,00";"0,00";;
"21-4467-003";"4,50";"0,00";;
"21-4468-003";"5,50";"0,00";;
"21-4469-003";"5,00";"0,00";;
"21-4470-003";"8,00";"0,00";;
"21-4540-003";"0,00";"0,00";;
"21-4541-003";"4,00";"0,00";;
"21-4542-003";"5,50";"0,00";;
"21-4543-003";"6,00";"0,00";;
"21-4544-003";"4,00";"0,00";;
"21-4545-003";"9,50";"0,00";;
"21-4546-003";"6,00";"0,00";;
"21-4547-003";"4,50";"0,00";;
"21-4287-003";"70,00";"0,00";;
"21-4363-003";"5,00";"0,00";;
"21-4378-003";"5,00";"0,00";;
"21-4379-003";"7,00";"0,00";;
"21-4380-003";"5,00";"0,00";;
"21-4448-003";"4,00";"0,00";;
"21-4449-003";"7,00";"0,00";;
"21-4450-003";"5,00";"0,00";;
"21-4451-003";"14,00";"0,00";;
"21-4452-003";"14,00";"0,00";;
"21-4453-003";"4,00";"0,00";;
"21-4455-003";"8,00";"0,00";;
"21-4534-003";"5,00";"0,00";;
"21-4535-003";"15,00";"0,00";;
"21-4536-003";"5,00";"0,00";;
"21-4247-003";"13,00";"0,00";;
"21-4330-003";"8,00";"0,00";;
"21-4331-003";"0,00";"0,00";;
"21-4332-003";"5,00";"0,00";;
"21-4333-003";"12,00";"0,00";;
"21-4334-003";"6,00";"0,00";;
"21-4335-003";"5,00";"0,00";;
"21-4336-003";"6,50";"0,00";;
"21-4337-003";"5,00";"0,00";;
"21-4338-003";"13,50";"0,00";;
"21-4339-003";"8,50";"0,00";;
"21-4340-003";"7,00";"0,00";;
"21-4248-003";"7,50";"0,00";;
"21-4249-003";"0,00";"0,00";;
"21-4371-003";"13,00";"0,00";;
"21-4372-003";"35,50";"0,00";;
"21-4373-003";"9,00";"0,00";;
"21-4374-003";"11,00";"0,00";;
"21-4381-003";"9,50";"0,00";;
"21-4382-003";"4,00";"0,00";;
"21-4383-003";"5,00";"0,00";"A32 | 2x 21-4383-002";
"21-4384-003";"0,50";"0,00";;
"21-4456-003";"3,00";"0,00";;
"21-4457-003";"2,50";"0,00";;
"21-4458-003";"10,50";"0,00";;
"21-4459-003";"18,50";"0,00";;
"21-4290-003";"52,50";"0,00";;
"21-4341-003";"15,00";"0,00";;
"21-4342-003";"21,00";"0,00";;
"21-4343-003";"15,00";"0,00";;
"21-4344-003";"15,50";"0,00";;
"21-4345-003";"9,00";"0,00";;
"21-4368-003";"1,00";"0,00";;
"21-4370-003";"3,00";"0,00";;
"21-4375-003";"3,50";"0,00";;
"21-4385-003";"8,50";"0,00";;
"21-4460-003";"2,00";"0,00";;
"21-4461-003";"3,00";"0,00";;
"21-4622-003";"9,00";"0,00";;
"1888-004";"14,50";"0,00";;
"21-4063-004";"4,00";"0,00";;
"21-4097-003";"7,00";"0,00";;
"21-4315-003";"5,00";"0,00";;
"21-4316-003";"5,00";"0,00";;
"21-4364-003";"4,00";"0,00";;
"21-4454-003";"7,00";"0,00";;
"21-4462-003";"7,00";"0,00";;
"21-4531-003";"5,00";"0,00";"PALETTENSTELLPLATZ : P10-F1-S3-4";
"21-4537-003";"9,00";"0,00";;
"21-4548-003";"6,00";"0,00";;
"21-4556-003";"0,00";"0,00";;
"21-4557-003";"8,00";"0,00";;
"21-4653-003";"16,00";"0,00";;
"21-4245-003";"5,00";"0,00";;
"21-4464-003";"0,00";"0,00";;
"21-4465-003";"4,00";"0,00";;
"21-4549-003";"8,00";"0,00";;
"21-4550-003";"6,00";"0,00";;
"21-4551-003";"4,00";"0,00";;
"21-4654-003";"8,00";"0,00";;
"21-4655-003";"7,00";"0,00";;
"21-4681-003";"0,00";"0,00";;
"21-4683-003";"8,00";"0,00";"
";
"21-4824-003";"4,00";"3,00";;
"21-4827-003";"6,00";"0,00";;
"21-4828-003";"2,00";"0,00";;
"21-4829-003";"16,00";"0,00";;
"21-4830-003";"4,00";"0,00";;
"21-4831-003";"12,00";"0,00";;
"21-4832-003";"11,00";"0,00";;
"21-4833-003";"72,00";"0,00";;
"21-4834-003";"2,00";"0,00";;
"21-4835-003";"8,00";"0,00";;
"21-4552-003";"0,00";"0,00";;
"21-4553-003";"0,00";"0,00";;
"21-4554-003";"4,00";"0,00";;
"21-4555-003";"4,00";"0,00";;
"21-4649-003";"4,00";"0,00";;
"21-4678-003";"8,00";"0,00";"PALETTENSTELLPLATZ : ";
"21-4679-003";"1,00";"0,00";;
"21-4928-001";"17,00";"0,00";;
"21-4928-002";"10,00";"0,00";;
"21-4958-001";"1,00";"0,00";;
"21-4959-001";"1,00";"0,00";;
"21-4532-003";"9,00";"0,00";;
"21-4962-002";"16,00";"0,00";;
"21-5016-001";"16,00";"0,00";;
"21-5016-002";"11,00";"0,00";;
"21-5017-001";"36,00";"0,00";"PALETTENSTELLPLATZ : P8-F1-S2-1

147 | A | 1 Kartons | P7-F4-S3 | --";
"21-5017-002";"15,00";"0,00";"

189 | A | 1 Kartons | P6-F4-S2 | --";
"21-5028-001";"22,00";"0,00";;
"21-5028-002";"11,00";"0,00";;
"21-5028-003";"5,00";"0,00";;
"21-5016-003";"5,00";"0,00";;
"21-5017-003";"7,00";"0,00";"PALETTENSTELLPLATZ : P8-F1-S2-1

147 | A | 1 Kartons | P7-F4-S3 | --";
"21-5050-001";"1,00";"0,00";;
"21-5050-002";"5,00";"0,00";;
"21-5052-001";"7,00";"0,00";;
"21-5078-001";"0,00";"0,00";;
"21-5078-002";"0,00";"0,00";;
"21-5090-001";"22,00";"0,00";;
"21-5090-002";"10,00";"0,00";;
"21-5091-001";"11,00";"0,00";;
"21-5091-002";"2,00";"0,00";;
"21-5092-001";"32,00";"0,00";;
"21-5092-002";"12,00";"0,00";;
"21-5093-001";"0,00";"0,00";;
"21-5093-002";"9,00";"0,00";;
"21-5090-003";"5,00";"0,00";;
"21-5091-003";"1,00";"0,00";;
"21-5092-003";"6,00";"0,00";;
"21-5093-003";"4,00";"0,00";;
"21-4100-003";"47,00";"0,00";"
";
"21-5240-001";"0,00";"0,00";"
";
"21-5240-002";"0,00";"0,00";"
";
"21-5266-001";"336,00";"0,00";"183 | M | 2 Kartons | P8-F2-S1 | --";
"21-5326-001";"7,00";"0,00";;
"21-5352-001";"30,00";"0,00";;
"21-5357-001";"163,00";"0,00";;
"21-5357-002";"16,00";"0,00";;
"21-5357-003";"59,00";"0,00";;
"21-5376-001";"0,00";"0,00";;
"21-5398-001";"2,00";"0,00";;
"21-5398-002";"10,00";"0,00";;
"21-5438-001";"22,00";"0,00";;
"21-5438-002";"11,00";"0,00";;
"21-5439-001";"23,00";"0,00";;
"21-5439-002";"11,00";"0,00";;
"21-5440-001";"88,00";"0,00";;
"21-5440-002";"44,00";"0,00";;
"21-5449-001";"36,00";"0,00";;
"21-5449-002";"18,00";"0,00";;
"21-5462-001";"6,00";"0,00";;
"21-5464-001";"13,00";"0,00";;
"21-5464-002";"15,00";"0,00";;
"21-5478-001";"5,00";"0,00";;
"21-5545-001";"13,00";"0,00";;
"21-5546-001";"7,00";"0,00";;
"21-5547-001";"5,00";"0,00";;
"21-5548-001";"3,00";"0,00";;
"21-5549-001";"3,00";"0,00";;
"21-5558-001";"290,00";"0,00";;
"21-5558-002";"226,00";"0,00";"
214 B | 1 Karton | P04-F1-S3 | MHD 03.08.2027";
"21-5594-001";"72,00";"0,00";;
"21-5594-002";"36,00";"0,00";;
"21-5594-003";"18,00";"0,00";;
"21-5598-001";"23,00";"0,00";"210 | C | 1 Kartons | P9-F2-S1 | --";
"21-5598-002";"55,00";"0,00";"211 | M | 2 Kartons | P4-F3-S2 | --

214 | A | 1 Kartons | P6-F4-S1 | --";
"21-3588-001";"0,00";"0,00";;
"21-5599-001";"19,00";"0,00";;
"21-5609-001";"37,00";"0,00";"194 | M | 2 Kartons | P7-F4-S3 | --";
"21-5609-002";"12,00";"0,00";"

202 | A | 1 Kartons | P7-F4-S2 | --";
"21-5599-002";"5,00";"0,00";;
"21-5599-003";"8,00";"0,00";;
"21-3588-002";"0,00";"0,00";;
"21-3588-003";"79,00";"0,00";"183 | M | 1 Kartons | P8-F2-S1 | --";
"21-5672-001";"6,00";"0,00";;
"21-5672-002";"30,00";"0,00";;
"21-5672-003";"91,00";"0,00";;
"21-5672-004";"59,00";"0,00";;
"21-5672-005";"55,00";"0,00";;
"21-5672-006";"14,00";"0,00";;
"21-5688-001";"2,00";"0,00";;
"21-5689-001";"19,00";"0,00";;
"21-5690-001";"6,00";"0,00";;
"21-5691-001";"11,00";"0,00";;
"21-5692-001";"2,00";"0,00";;
"21-5708-001";"3,00";"0,00";"PALETTENSTELLPLATZ : P7-F1-S3-2";
"21-5708-002";"6,00";"0,00";"PALETTENSTELLPLATZ : P7-F1-S3-2

";
"21-5709-001";"20,00";"0,00";"209 | A | 1 Kartons | P8-F4-S3 | --";
"21-5709-002";"23,00";"0,00";"209 | A | 1 Kartons | P8-F4-S3 | --";
"21-5710-001";"11,00";"0,00";;
"21-5710-002";"27,00";"0,00";;
"21-5710-003";"18,00";"0,00";;
"21-5712-001";"29,00";"0,00";"209 | A | 1 Kartons | P8-F4-S3 | --";
"21-5712-002";"22,00";"0,00";"209 | A | 2 Kartons | P8-F4-S3 | --";
"21-5713-001";"0,00";"0,00";;
"21-5713-002";"0,00";"0,00";;
"21-5713-003";"0,00";"0,00";;
"21-5718-001";"26,00";"0,00";;
"21-5718-002";"13,00";"0,00";"174 | Q | 1 Kartons | P4-F1-S1 | --";
"21-5719-001";"6,00";"0,00";;
"21-5719-002";"3,00";"0,00";;
"21-5720-001";"0,00";"0,00";;
"21-5720-002";"5,00";"0,00";;
"21-5721-001";"52,00";"0,00";;
"21-5721-002";"45,00";"0,00";;
"21-5722-001";"14,00";"0,00";;
"21-5722-002";"0,00";"0,00";;
"21-5723-001";"26,00";"0,00";"212 | Q | 1 Kartons | P9-F2-S1 | --";
"21-5723-002";"11,00";"0,00";"212 | Q | 1 Kartons | P9-F2-S1 | --";
"21-5724-001";"11,00";"0,00";;
"21-5724-002";"39,00";"0,00";"185 | Q | 9 Kartons | P8-F2-S3 | --";
"21-5727-001";"0,00";"0,00";;
"21-5727-002";"0,00";"0,00";;
"21-5733-001";"10,00";"0,00";;
"21-5733-002";"6,00";"0,00";;
"21-5734-001";"9,00";"0,00";;
"21-5734-002";"5,00";"0,00";;
"21-5735-001";"5,00";"0,00";;
"21-5735-002";"7,00";"0,00";;
"21-5805-001";"13,00";"0,00";;
"21-5806-001";"12,00";"0,00";;
"21-5817-001";"10,00";"0,00";;
"21-5817-002";"13,00";"0,00";;
"21-5820-001";"9,00";"0,00";;
"21-5820-002";"8,00";"0,00";;
"21-5834-001";"3,00";"0,00";;
"21-5834-002";"3,00";"0,00";;
"21-5835-001";"3,00";"0,00";;
"21-5835-002";"2,00";"0,00";;
"21-5836-001";"2,00";"0,00";;
"21-5836-002";"3,00";"0,00";;
"21-5837-001";"2,00";"0,00";;
"21-5837-002";"3,00";"0,00";;
"21-5838-001";"2,00";"0,00";;
"21-5838-002";"3,00";"0,00";;
"21-5839-001";"4,00";"0,00";;
"21-5840-001";"1,00";"0,00";;
"21-5841-001";"1,00";"0,00";;
"21-5842-001";"1,00";"0,00";;
"21-5854-001";"2,00";"0,00";;
"21-5854-002";"2,00";"0,00";;
"21-5856-001";"17,00";"0,00";;
"21-5856-002";"8,00";"0,00";;
"21-5856-003";"4,00";"0,00";;
"21-5836-003";"1,00";"0,00";;
"21-5672-007";"23,00";"0,00";;
"21-5909-001";"4,00";"0,00";;
"21-5910-001";"3,00";"0,00";;
"21-5910-002";"8,00";"0,00";;
"21-5912-001";"19,00";"0,00";;
"21-5912-002";"22,00";"0,00";;
"21-5913-001";"5,00";"0,00";;
"21-5913-002";"6,00";"0,00";;
"21-5914-001";"24,00";"0,00";;
"21-5914-002";"1,00";"0,00";;
"21-5914-003";"15,00";"0,00";;
"21-5914-004";"5,00";"0,00";;
"21-5914-005";"14,00";"0,00";;
"21-5914-006";"4,00";"0,00";;
"21-5915-001";"38,00";"0,00";;
"21-5915-002";"14,00";"0,00";;
"21-5915-003";"12,00";"0,00";;
"21-5915-004";"20,00";"0,00";;
"2237-005";"3,00";"0,00";;
"21-5938-001";"5,00";"0,00";;
"21-5938-002";"1,00";"0,00";;
"21-5938-003";"4,00";"0,00";;
"21-5938-004";"2,00";"0,00";;
"21-5938-005";"3,00";"0,00";;
"21-5939-001";"3,00";"0,00";;
"21-5939-002";"3,00";"0,00";;
"21-5939-003";"2,00";"0,00";;
"21-5939-004";"3,00";"0,00";;
"21-5939-005";"4,00";"0,00";;
"21-5940-001";"2,00";"0,00";;
"21-5940-002";"4,00";"0,00";;
"21-5940-003";"1,00";"0,00";;
"21-5940-004";"3,00";"0,00";;
"21-5940-005";"2,00";"0,00";;
"21-5942-001";"2,00";"0,00";;
"21-5942-002";"2,00";"0,00";;
"21-5942-003";"2,00";"0,00";;
"21-5942-004";"2,00";"0,00";;
"21-5942-005";"2,00";"0,00";;
"21-5942-006";"1,00";"0,00";;
"21-5943-001";"3,00";"0,00";;
"21-5943-002";"3,00";"0,00";;
"21-5943-003";"6,00";"0,00";;
"21-5943-004";"4,00";"0,00";;
"21-5943-005";"3,00";"0,00";;
"21-5946-001";"2,00";"0,00";;
"21-5946-002";"2,00";"0,00";;
"21-5946-003";"3,00";"0,00";;
"21-5946-004";"3,00";"0,00";;
"21-5946-005";"4,00";"0,00";;
"21-5946-006";"2,00";"0,00";;
"21-5947-001";"2,00";"0,00";;
"21-5947-002";"3,00";"0,00";;
"21-5947-003";"2,00";"0,00";;
"21-5952-001";"53,00";"0,00";"211 | M | 1 Kartons | P4-F3-S2 | --";
"21-5952-002";"26,00";"0,00";;
"21-5266-003";"0,00";"0,00";;
"21-5958-001";"6,00";"0,00";;
"21-5958-002";"4,00";"0,00";;
"21-5960-001";"10,00";"0,00";;
"21-5960-002";"0,00";"0,00";;
"1807-005";"16,00";"0,00";"PALETTENSTELLPLATZ : P7-F1-S1-2";
"21-5984-001";"9,00";"0,00";;
"21-5984-002";"13,00";"0,00";;
"21-5984-003";"0,00";"0,00";;
"21-6016-001";"11,00";"0,00";;
"21-6017-001";"25,00";"0,00";;
"21-6017-002";"5,00";"0,00";;
"21-6018-001";"15,00";"0,00";;
"21-6018-002";"2,00";"0,00";;
"21-6019-001";"17,00";"0,00";;
"21-6019-002";"5,00";"0,00";;
"21-6020-001";"31,00";"0,00";;
"21-6020-002";"9,00";"0,00";;
"21-6021-001";"29,00";"0,00";;
"21-6021-002";"11,00";"0,00";;
"21-6022-001";"23,00";"0,00";;
"21-6022-002";"9,00";"0,00";;
"21-6023-001";"11,00";"0,00";;
"21-6023-002";"2,00";"0,00";;
"21-6024-001";"35,00";"0,00";;
"21-6024-002";"24,00";"0,00";;
"21-6025-001";"12,00";"0,00";;
"21-6025-002";"4,00";"0,00";;
"21-6026-001";"22,00";"0,00";;
"21-6026-002";"13,00";"0,00";;
"21-6027-001";"15,00";"0,00";;
"21-6027-002";"7,00";"0,00";;
"21-6028-001";"21,00";"0,00";;
"21-6028-002";"7,00";"0,00";;
"21-6030-001";"279,00";"0,00";;
"21-6030-002";"139,00";"0,00";;
"21-6030-003";"69,00";"0,00";;
"21-6035-001";"19,00";"0,00";;
"21-6035-002";"7,00";"0,00";;
"21-6033-001";"16,00";"0,00";;
"21-6033-002";"9,00";"0,00";;
"21-6031-001";"0,00";"0,00";;
"21-6031-002";"1,00";"0,00";;
"21-6032-001";"12,00";"0,00";;
"21-6032-002";"5,00";"0,00";;
"21-6040-001";"5,00";"0,00";;
"21-6040-002";"9,00";"0,00";;
"21-6040-003";"4,00";"0,00";;
"21-5722-003";"0,00";"0,00";;
"21-5723-003";"5,00";"0,00";;
"21-6017-003";"2,00";"0,00";;
"21-6018-003";"1,00";"0,00";;
"21-6019-003";"2,00";"0,00";;
"21-6020-003";"4,00";"0,00";;
"21-6021-003";"5,00";"0,00";;
"21-6022-003";"4,00";"0,00";;
"21-6023-003";"1,00";"0,00";;
"21-6024-003";"12,00";"0,00";;
"21-6025-003";"2,00";"0,00";;
"21-6026-003";"6,00";"0,00";;
"21-6027-003";"3,00";"0,00";;
"21-6028-003";"3,00";"0,00";;
"21-4962-004";"14,00";"0,00";;
"21-6078-001";"25,00";"0,00";;
"21-6078-002";"8,00";"0,00";;
"21-6078-003";"30,00";"0,00";;
"21-6080-001";"0,00";"0,00";;
"21-6081-001";"20,00";"0,00";;
"21-6082-001";"0,00";"0,00";;
"21-6083-001";"4,00";"0,00";;
"21-6083-002";"0,00";"0,00";;
"21-6083-003";"4,00";"0,00";;
"21-6083-004";"3,00";"0,00";;
"21-6084-001";"18,00";"0,00";;
"21-6078-004";"20,00";"0,00";;
"21-6085-001";"10,00";"0,00";;
"21-6092-001";"19,00";"0,00";;
"21-6098-001";"12,00";"0,00";;
"21-6098-002";"7,00";"0,00";;
"21-6098-003";"4,00";"0,00";;
"21-6098-004";"18,00";"0,00";;
"21-6098-005";"7,00";"0,00";;
"21-6098-006";"6,00";"0,00";;
"21-6104-001";"4,00";"0,00";;
"21-6104-002";"5,00";"0,00";;
"21-6104-003";"5,00";"0,00";;
"21-6105-001";"6,00";"0,00";;
"21-6105-002";"9,00";"0,00";;
"21-6105-003";"7,00";"0,00";;
"21-6016-002";"22,00";"0,00";;
"21-6132-001";"6,00";"0,00";;
"21-6132-002";"8,00";"0,00";;
"21-6134-001";"23,00";"0,00";"208 | C | 1 Kartons | P5-F2-S3 | --";
"21-6134-002";"26,00";"0,00";"208 | C | 1 Kartons | P5-F2-S3 | --";
"21-6135-001";"20,00";"0,00";"212 | Q | 1 Kartons | P9-F2-S1 | --";
"21-6135-002";"17,00";"0,00";"212 | Q | 1 Kartons | P9-F2-S1 | --";
"21-6140-001";"25,00";"0,00";;
"21-6140-002";"29,00";"0,00";;
"21-6141-001";"21,00";"0,00";;
"21-6141-002";"7,00";"0,00";;
"21-6142-001";"15,00";"0,00";;
"21-6142-002";"9,00";"0,00";;
"21-6143-001";"19,00";"0,00";;
"21-6143-002";"13,00";"0,00";;
"21-6144-001";"3,00";"0,00";;
"21-6144-002";"12,00";"0,00";;
"21-6145-001";"16,00";"0,00";;
"21-6145-002";"11,00";"0,00";;
"21-6146-001";"8,00";"0,00";;
"21-6146-002";"11,00";"0,00";;
"21-6147-001";"10,00";"0,00";;
"21-6147-002";"11,00";"0,00";;
"21-6142-003";"4,00";"0,00";;
"21-6143-003";"6,00";"0,00";;
"21-6144-003";"6,00";"0,00";;
"21-6145-003";"5,00";"0,00";;
"21-6146-003";"5,00";"0,00";;
"21-6147-003";"5,00";"0,00";;
"21-6140-003";"14,00";"0,00";;
"21-6141-003";"3,00";"0,00";;
"21-6158-001";"16,00";"0,00";;
"21-6158-002";"9,00";"0,00";;
"21-6158-003";"4,00";"0,00";;
"21-6173-001";"0,00";"0,00";;
"21-6173-002";"19,00";"0,00";;
"21-6174-001";"0,00";"0,00";;
"21-6174-002";"3,00";"0,00";;
"21-6175-001";"0,00";"0,00";;
"21-6175-002";"17,00";"0,00";;
"21-6189-001";"0,00";"0,00";;
"21-6189-002";"0,00";"0,00";;
"21-6199-001";"4,00";"0,00";;
"21-6199-002";"6,00";"0,00";;
"21-6199-003";"3,00";"0,00";;
"21-6201-001";"0,00";"0,00";;
"21-6201-002";"7,00";"0,00";;
"21-6201-003";"3,00";"0,00";;
"21-6203-001";"17,00";"0,00";;
"21-6203-002";"6,00";"0,00";;
"21-6203-003";"3,00";"0,00";;
"21-6217-001";"25,00";"0,00";;
"21-6217-002";"0,00";"0,00";;
"21-6217-003";"0,00";"0,00";;
"21-6218-001";"343,00";"0,00";"214 B | 2 Kartons | P-F-S | MHD 06.2028
";
"21-6224-001";"268,00";"0,00";;
"21-6224-002";"134,00";"0,00";;
"21-6224-003";"67,00";"0,00";;
"21-6078-005";"10,00";"0,00";;
"21-6078-006";"17,00";"0,00";;
"21-6135-003";"22,00";"0,00";;
"21-6239-001";"1,00";"0,00";;
"21-6240-001";"5,00";"0,00";;
