"Artikelnummer";"Lagerbestand Lager [Im Hasseldamm]";"Lagerbestand Lager [Reklamation]";"Anmerkung";
"2455-001";"11,00";"0,00";;
"2455-002";"15,00";"0,00";"
";
"2455-003";"7,00";"0,00";;
"2315-001";"38,00";"0,00";;
"2315-003";"15,00";"0,00";;
"2456-002";"13,00";"0,00";;
"2456-003";"29,00";"0,00";"
";
"2457-002";"14,00";"0,00";"
";
"2457-003";"11,00";"0,00";"164 | M | 1 Kartons | D03-03-03 | --
";
"2461-003";"7,00";"0,00";;
"2474-002";"18,00";"0,00";;
"2474-003";"14,00";"0,00";;
"2486-001";"5,00";"0,00";;
"2486-002";"7,00";"0,00";;
"2486-003";"6,00";"0,00";;
"2486-004";"4,00";"0,00";;
"2486-005";"2,00";"0,00";;
"2486-006";"4,00";"0,00";;
"2573-001";"125,00";"0,00";;
"2578-002";"6,00";"0,00";;
"2578-003";"12,00";"0,00";;
"1785-004";"11,00";"0,00";;
"2786-001";"30,00";"0,00";;
"2786-002";"14,00";"0,00";;
"2786-003";"38,00";"0,00";;
"2318-004";"2,00";"0,00";;
"2853-001";"270,00";"0,00";"214 B | 1 Karton | P-F-S | MHD 10.2028";
"2859-001";"1164,00";"0,00";"156 B | 2 Kartons | P04-F1-S3 | --
214 B | 6 Kartons | P-F-S | MHD 12.2028 --";
"2859-002";"454,00";"0,00";"
214 B | 2 Kartons | P-F-S | MHD 11.2028";
"2862-002";"0,00";"0,00";;
"2238-003";"258,00";"0,00";;
"2237-004";"7,00";"0,00";;
"2995-002";"15,00";"0,00";;
"2995-003";"28,00";"0,00";"INV P10-F2-S3 Si.";
"2238-004";"14,00";"0,00";;
"21-3307-001";"1320,00";"0,00";"134 B | 1 Karton   | P07-F2-S1 -- 
156 B | 1 Karton   | P04-F1-S3
193 B | 2 Kartons | P04-F1-S3
214 B | 1 Kartons | P04-F1-S3 | MHD 01.2029
";
"21-3307-002";"236,00";"0,00";"214 B | 1 Karton | P-F-S | MHD 12.2028";
"21-3321-001";"7,00";"0,00";;
"21-3321-002";"17,00";"0,00";;
"21-3371-001";"17,00";"0,00";;
"21-3371-002";"18,00";"0,00";;
"21-3371-003";"17,00";"0,00";;
"21-3373-002";"11,00";"0,00";;
"21-3373-003";"14,00";"0,00";;
"21-3374-001";"7,00";"0,00";;
"21-3374-002";"15,00";"0,00";;
"21-3374-003";"12,00";"0,00";;
"21-3375-001";"21,00";"0,00";;
"21-3375-002";"20,00";"0,00";;
"21-3375-003";"15,00";"0,00";;
"21-3378-001";"14,00";"0,00";;
"21-3378-002";"8,00";"0,00";;
"21-3378-003";"18,00";"0,00";"214 | A | 1 Kartons | P7-F2-S3 | --


";
"21-3440-001";"180,00";"0,00";;
"21-3440-002";"90,00";"0,00";;
"21-3440-003";"45,00";"0,00";;
"21-3442-002";"10,00";"0,00";"PALETTENSTELLPLATZ : P8-F1-S1-1";
"21-3442-003";"9,00";"0,00";"
";
"21-3463-001";"0,00";"0,00";;
"21-3463-002";"0,00";"0,00";;
"21-3463-003";"2,00";"0,00";;
"21-3469-001";"111,00";"0,00";;
"21-3469-002";"55,00";"0,00";;
"21-3469-003";"27,00";"0,00";;
"21-3585-002";"0,00";"58,00";;
"21-3585-003";"0,00";"32,00";"212 | C | 2 Kartons | P7-F4-S3 | --";
"21-3589-002";"13,00";"0,00";;
"21-3589-003";"23,00";"0,00";;
"21-3725-001";"10,00";"0,00";;
"21-3725-002";"12,00";"0,00";;
"21-3799-001";"10,00";"0,00";;
"21-3799-002";"21,00";"0,00";;
"21-3861-001";"0,00";"0,00";;
"21-3861-003";"0,00";"0,00";;
"21-3867-001";"0,00";"0,00";;
"21-3867-002";"0,00";"0,00";;
"21-3867-003";"42,00";"0,00";;
"21-3900-001";"741,00";"0,00";"214 B | 1 Karton | P04-F1-S3 | MHD 10.2028
214 B | 1 Karton | P-F-S | MHD 10.2028";
"21-3900-002";"207,00";"0,00";"134 | B | 1 Karton | P8-F2-S2 | MHD 01/27
134 | B | 1 Karton | P4-F1-S3 | MHD 07/27 
";
"21-3913-001";"13,00";"0,00";;
"21-3913-002";"14,00";"0,00";;
"21-3913-003";"10,00";"0,00";;
"21-3914-001";"0,00";"0,00";;
"21-3914-002";"0,00";"0,00";;
"21-3914-003";"0,00";"0,00";"

 ";
"21-3923-002";"43,00";"0,00";"214 | A | 1 Kartons | P6-F4-S1 | --";
"21-3923-003";"106,00";"0,00";"209 | A | 4 Kartons | P4-F2-S1 | --
214 | A | 2 Kartons | P3-F3-S2 | --


";
"21-4028-002";"10,00";"0,00";;
"21-4028-003";"0,00";"0,00";;
